danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,id,analysis_url,duration_ms,time_signature,name,artists_name,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.318,0.982,6,-4.471,1,0.177,0.107,0.273,120.974,2fQXQekXr7Jw7B4Xdun0Gg,https://api.spotify.com/v1/audio-analysis/2fQXQekXr7Jw7B4Xdun0Gg,271013,4,ストロンガー・ザン・オール - ライヴ,HammerFall,0.728,1,0.496,0.536
0.498,0.723,7,-6.172,1,0.0305,1.53e-6,0.256,80.026,3RjfYgsdomrj8qNjJvaDfD,https://api.spotify.com/v1/audio-analysis/3RjfYgsdomrj8qNjJvaDfD,308893,4,ズグロムシクイ故郷に帰る,Korpiklaani,0.5,0.878,0.282,0.566
0.367,0.931,1,-6.031,1,0.0812,4.8e-4,0.212,80.937,4MBA8GN9WTIdE3BxI7K0N9,https://api.spotify.com/v1/audio-analysis/4MBA8GN9WTIdE3BxI7K0N9,388533,4,タネローン - ライヴ,Blind Guardian,0,0.828,0,0.134
0.416,0.95,6,-3.962,0,0.0749,1.42e-4,0.354,155.027,1U4xbqi4GdI1ucpBs04Xjd,https://api.spotify.com/v1/audio-analysis/1U4xbqi4GdI1ucpBs04Xjd,242707,4,ダイヤモンズ,Imminence,0.42,0.967,0.495,0.596
0.314,0.42,9,-6.249,0,0.0324,0,0.236,152.915,4D8rheeVlQC5bXpu3clGws,https://api.spotify.com/v1/audio-analysis/4D8rheeVlQC5bXpu3clGws,236293,4,ダイヤモンズ - アコースティック,Imminence,0.025,1,0.506,0.655
0.451,0.949,10,-3.119,0,0.0774,0.00794,0.317,143.951,6F7XQ2H6kU2fZqLGhjatRN,https://api.spotify.com/v1/audio-analysis/6F7XQ2H6kU2fZqLGhjatRN,227120,4,ダガーズ,Imminence,0.681,1,0.143,0.386
0.604,0.862,5,-6.536,0,0.0398,4.68e-5,0.385,96.046,77Ug2VF8nyHArYRwpOMCSP,https://api.spotify.com/v1/audio-analysis/77Ug2VF8nyHArYRwpOMCSP,224919,4,ダンシング・ウィズ・ザ・ビースト,Battle Beast,0.169,0.976,0.705,0.642
0.453,0.929,1,-3.845,0,0.0857,0.0019,0.317,75.014,26n5Ylf4iDJJGlk5nkHgEA,https://api.spotify.com/v1/audio-analysis/26n5Ylf4iDJJGlk5nkHgEA,222200,4,ディス・イズ・グッドバイ,Imminence,0.272,0.719,0,0.184
0.591,0.24,9,-9.079,1,0.0261,1.86e-6,0.196,75.066,4bT1Mma1ix0ys8ZBkkgzcl,https://api.spotify.com/v1/audio-analysis/4bT1Mma1ix0ys8ZBkkgzcl,263440,4,ディス・イズ・グッドバイ - アコースティック,Imminence,0.016,0.794,0.66,0.622
0.488,0.947,10,-5.057,0,0.0593,0.0144,0.194,92.511,6XvFozrG2zcMaAat42vv0B,https://api.spotify.com/v1/audio-analysis/6XvFozrG2zcMaAat42vv0B,261296,4,ディープ・インサイド,In Flames,0.192,0.99,0.459,0.482
0.339,0.815,11,-4.765,1,0.0581,9.24e-5,0.0858,128.92,6T2jA37o4qL9giMTMxvh4U,https://api.spotify.com/v1/audio-analysis/6T2jA37o4qL9giMTMxvh4U,240880,4,デザート・プレイス,Imminence,0.311,1,0.798,0.762
0.395,0.962,3,-4.234,0,0.12,0.00104,0.366,180.015,7k7P1PkTJj6TVtwqcJT4BW,https://api.spotify.com/v1/audio-analysis/7k7P1PkTJj6TVtwqcJT4BW,233867,4,トゥー・ハンズ,We Came As Romans,0.253,1,0.387,0.187
0.38,0.957,0,-5.084,1,0.43,0,0.306,167.223,59fiOKDf3CWXSGGH9papKM,https://api.spotify.com/v1/audio-analysis/59fiOKDf3CWXSGGH9papKM,281187,4,トリプル・ビーム,Machine Head,0.019,0.939,0.436,0.465
0.448,0.994,6,-4.534,1,0.147,0.535,0.148,139.894,2JPMDAFFy0vjuu6RNe6CJY,https://api.spotify.com/v1/audio-analysis/2JPMDAFFy0vjuu6RNe6CJY,341173,4,ドリームランド,HammerFall,0.789,0.853,0.413,0.526
0.468,0.938,0,-5.459,1,0.059,0.247,0.503,117.759,5Sm0LqLygF5RF7naGPWBlF,https://api.spotify.com/v1/audio-analysis/5Sm0LqLygF5RF7naGPWBlF,380086,4,ドーター・オブ・ヘイト,Amorphis,0.804,0.014,0,0.093
0.479,0.96,8,-2.256,0,0.0614,0.172,0.405,139.95,2DhWIMeq7wJNsPE6x6PRhs,https://api.spotify.com/v1/audio-analysis/2DhWIMeq7wJNsPE6x6PRhs,240307,4,ノット・ア・レスキュー,Imminence,0.442,1,0.098,0.211
0.356,0.932,7,-4.935,0,0.0464,0.0518,0.301,138.26,29Rp79MxDAyfM5Q3qBtyna,https://api.spotify.com/v1/audio-analysis/29Rp79MxDAyfM5Q3qBtyna,315960,4,ハニーフロー,Amorphis,0.679,0.843,0.119,0.272
0.423,0.949,0,-4.946,0,0.0654,0.0218,0.347,109.389,1PqpcYSrti2UbKHNWPAc3T,https://api.spotify.com/v1/audio-analysis/1PqpcYSrti2UbKHNWPAc3T,392902,4,ハート・オブ・ザ・ジャイアント,Amorphis,0.67,0.643,0.184,0.385
0.194,0.906,11,-5.993,1,0.145,0,0.111,156.005,0aGoke2bdpOV3lQzJRy1on,https://api.spotify.com/v1/audio-analysis/0aGoke2bdpOV3lQzJRy1on,304373,4,バスターズ,Machine Head,0.032,0.735,0.616,0.365
0.446,0.972,6,-5.584,0,0.0649,0.00208,0.578,159.99,1SJEbxySfIuToiaeYMKpWz,https://api.spotify.com/v1/audio-analysis/1SJEbxySfIuToiaeYMKpWz,216289,4,バスタード・ソン・オブ・オーディン,Battle Beast,0.446,0.295,0.217,0.422
0.501,0.991,6,-4.998,1,0.111,0.243,0.085,123.931,2o8M4JSlYGuKo5ptFpwx0G,https://api.spotify.com/v1/audio-analysis/2o8M4JSlYGuKo5ptFpwx0G,218559,4,バック・トゥ・バック,HammerFall,0.863,0.909,0.503,0.517
0.527,0.968,6,-4.467,1,0.12,0.0329,0.2,114.99,0ZijP2bDsJqVKgjWOfNMC4,https://api.spotify.com/v1/audio-analysis/0ZijP2bDsJqVKgjWOfNMC4,223720,4,バーン,In Flames,0.743,1,0.807,0.632
0.4,0.963,2,-5.281,1,0.0721,0.391,0.197,134.859,4x7Rpj7KLG7WjPQz9W08aj,https://api.spotify.com/v1/audio-analysis/4x7Rpj7KLG7WjPQz9W08aj,378863,4,パイアーズ・オン・ザ・コースト,Amorphis,0.8,0.821,0.637,0.58
